90,2020-12-31 13:00:00.0000000,2021-01-01 12:00:00.0000000
48,2020-08-28 13:00:00.0000000,2020-08-30 12:00:00.0000000
48,2020-08-23 13:00:00.0000000,2020-08-27 12:00:00.0000000
43,2020-08-21 13:00:00.0000000,2020-08-23 12:00:00.0000000
7,2020-08-21 13:00:00.0000000,2020-08-23 12:00:00.0000000
48,2020-08-20 13:00:00.0000000,2020-08-23 12:00:00.0000000
42,2020-08-20 13:00:00.0000000,2020-08-23 12:00:00.0000000
7,2020-08-14 13:00:00.0000000,2020-08-16 12:00:00.0000000
44,2020-08-13 13:00:00.0000000,2020-08-17 12:00:00.0000000
43,2020-08-12 13:00:00.0000000,2020-08-16 12:00:00.0000000
48,2020-08-12 13:00:00.0000000,2020-08-18 12:00:00.0000000
48,2020-08-11 13:00:00.0000000,2020-08-12 12:00:00.0000000
48,2020-08-09 13:00:00.0000000,2020-08-11 12:00:00.0000000
5,2020-08-09 13:00:00.0000000,2020-08-11 12:00:00.0000000
43,2020-08-09 13:00:00.0000000,2020-08-12 12:00:00.0000000
48,2020-08-07 13:00:00.0000000,2020-08-09 12:00:00.0000000
26,2020-08-07 13:00:00.0000000,2020-08-09 12:00:00.0000000
7,2020-08-07 13:00:00.0000000,2020-08-09 12:00:00.0000000
62,2020-08-07 13:00:00.0000000,2020-08-09 12:00:00.0000000
36,2020-08-07 13:00:00.0000000,2020-08-10 12:00:00.0000000
50,2020-08-07 13:00:00.0000000,2020-08-10 12:00:00.0000000
48,2020-08-06 13:00:00.0000000,2020-08-07 12:00:00.0000000
43,2020-08-04 13:00:00.0000000,2020-08-09 12:00:00.0000000
53,2020-08-03 13:00:00.0000000,2020-08-16 12:00:00.0000000
38,2020-08-01 13:00:00.0000000,2020-08-09 12:00:00.0000000
10,2020-08-01 13:00:00.0000000,2020-08-16 12:00:00.0000000
36,2020-07-31 13:00:00.0000000,2020-08-02 12:00:00.0000000
7,2020-07-31 13:00:00.0000000,2020-08-02 12:00:00.0000000
